"date","manner_of_death","armed","age","gender","race","state","signs_of_mental_illness","threat_level","flee","body_camera","longitude","latitude","year"
2020-05-25,"shot","toy weapon",35,"M",0,"CA","True","attack","Not fleeing","True",-121.001,37.664,"2020"
2020-05-25,"shot","knife",33,"M",0,"TX","False","attack","Not fleeing","False",-95.116,29.503,"2020"
2020-05-26,"shot","gun",37,"M",0,"MI","True","attack","Not fleeing","True",-84.557,42.743,"2020"
2020-05-26,"shot","gun",22,"M",0,"TX","False","attack","Not fleeing","False",-97.434,27.724,"2020"
2020-05-26,"shot","gun",42,"F",0,"FL","False","attack","Not fleeing","False",-81.157,28.549,"2020"
2020-05-26,"shot","gun",18,"M",0,"CA","False","attack","Foot","False",-118.294,33.937,"2020"
2020-05-26,"shot and Tasered","unarmed",61,"M",0,"FL","False","attack","Foot","True",-81.465,30.255,"2020"
2020-05-27,"shot","gun",38,"M",1,"FL","False","other","Not fleeing","False",-84.299,30.415,"2020"
2020-05-27,"shot","vehicle and gun",58,"M",0,"NY","False","attack","Car","False",-77.817,42.794,"2020"
2020-05-27,"shot","knife",31,"M",0,"CA","False","attack","Not fleeing","True",-117.975,33.865,"2020"
2020-05-27,"shot and Tasered","gun",35,"M",1,"LA","False","attack","Other","True",-90.064,29.906,"2020"
2020-05-28,"shot","gun",53,"M",0,"UT","False","attack","Not fleeing","False",-111.953,41.257,"2020"
2020-05-28,"shot","vehicle",31,"M",0,"CO","False","attack","Car","False",-104.88,39.581,"2020"
2020-05-28,"shot","gun",35,"M",1,"AR","False","other","Not fleeing","False",-92.213,34.76,"2020"
2020-05-28,"shot and Tasered","knife",26,"M",0,"OR","False","other","Not fleeing","True",-122.765,45.5,"2020"
2020-05-29,"shot","knife",22,"F",0,"FL","True","attack","Not fleeing","False",-82.394,28.05,"2020"
2020-05-29,"shot","knife",35,"M",1,"PA","False","other","Not fleeing","False",-75.08,40.023,"2020"
2020-05-29,"shot","gun",39,"M",1,"GA","False","attack","Car","False",-83.991,33.828,"2020"
2020-05-29,"shot","vehicle",44,"M",1,"FL","False","attack","Car","False",-81.604,30.634,"2020"
2020-05-29,"shot","toy weapon",39,"M",0,"CA","False","attack","Not fleeing","False",-118.162,34.675,"2020"
2020-05-30,"shot","gun",46,"M",1,"FL","False","attack","Not fleeing","False",-85.348,30.515,"2020"
2020-05-31,"shot and Tasered","gun",32,"M",0,"WI","False","attack","Not fleeing","False",-88.731,43.178,"2020"
2020-06-01,"shot","gun",25,"M",0,"NV","False","attack","Not fleeing","False",-115.142,36.165,"2020"
2020-06-01,"shot","gun",36,"M",0,"AR","False","undetermined","Not fleeing","False",-94.19,36.055,"2020"
2020-06-02,"shot","gun",65,"M",0,"CA","False","other","Not fleeing","False",-122.22,40.396,"2020"
2020-06-02,"shot","hammer",22,"M",0,"CA","False","other","Not fleeing","True",-122.257,38.104,"2020"
2020-06-03,"shot","knife",39,"F",0,"OK","False","other","Not fleeing","False",-94.618,35.049,"2020"
2020-06-03,"shot","gun",25,"M",0,"TX","False","attack","Not fleeing","False",-97.451,27.752,"2020"
2020-06-03,"shot","undetermined",36,"M",0,"AR","False","undetermined","Not fleeing","False",-92.47,34.612,"2020"
2020-06-05,"shot","gun",42,"M",0,"OK","False","attack","Not fleeing","False",-97.725,35.406,"2020"
2020-06-05,"shot","gun",60,"M",0,"TX","True","attack","Not fleeing","False",-106.257,31.652,"2020"
2020-06-06,"shot","gun",24,"M",1,"NY","False","attack","Foot","False",-73.773,40.926,"2020"
2020-06-06,"shot","vehicle",22,"M",0,"CA","False","attack","Not fleeing","False",-122.167,37.748,"2020"
2020-06-06,"shot","metal pipe",37,"M",0,"TN","True","attack","Not fleeing","False",-85.017,36.183,"2020"
2020-06-07,"shot","pellet gun",26,"M",0,"NY","False","other","Not fleeing","False",-73.214,40.73,"2020"
2020-06-07,"shot","knife",35,"M",0,"CA","True","other","Not fleeing","False",-117.93,34.004,"2020"
2020-06-08,"shot","gun",81,"M",0,"NM","True","attack","Not fleeing","False",-106.775,32.317,"2020"
2020-06-09,"shot","gun",38,"M",1,"FL","False","attack","Not fleeing","False",-81.409,28.487,"2020"
2020-06-12,"shot","Taser",27,"M",1,"GA","False","attack","Foot","True",-84.4,33.722,"2020"
2020-06-12,"shot","gun",23,"M",1,"IN","False","attack","Car","False",-87.322,41.417,"2020"
2020-06-13,"shot","unarmed",25,"F",0,"MO","False","other","Not fleeing","False",-93.27,38.71,"2020"
2020-06-13,"shot","gun",22,"M",0,"MO","False","other","Other","False",-94.528,39.084,"2020"
